Current sim time, airport, event name, airplane id, runway queue size, gate queue size, baggage cart queue size, fuel truck queue size
249.323707, Airport4, UnloadLuggage, 3.8, 0, 3, 0, 0, 
249.323707, Airport4, LeaveGate, 2.6, 0, 3, 0, 0, 
249.323707, Airport4, DockAtGate, 2.9, 0, 2, 0, 0, 
250.711912, Airport4, AcquireGate, 1.3, 0, 2, 0, 0, 
250.867452, Airport4, ArriveGate, 2.9, 0, 3, 0, 0, 
250.867452, Airport4, FuelPlane, 2.9, 0, 3, 1, 0, 
251.015809, Airport4, Taxi2RunwayEA, 2.6, 0, 3, 1, 0, 
252.045714, Airport4, LeaveGate, 3.7, 0, 3, 1, 0, 
252.925154, Airport4, ReleaseLuggageCart, 3.7, 0, 3, 1, 0, 
252.925154, Airport4, UnloadLuggage, 2.9, 0, 3, 0, 0, 
252.925154, Airport4, LeaveGate, 3.7, 0, 3, 0, 0, 
252.925154, Airport4, DockAtGate, 1.5, 0, 2, 0, 0, 
254.439656, Airport4, AcquireRunwayTakeoff, 2.6, 0, 2, 0, 0, 
254.439656, Airport4, Takeoff, 2.6, 0, 2, 0, 0, 
255.013433, Airport4, Taxi2RunwayEA, 3.7, 0, 2, 0, 0, 
255.068490, Airport4, ArriveGate, 1.5, 0, 2, 0, 0, 
255.068490, Airport4, FuelPlane, 1.5, 0, 2, 1, 0, 
256.450292, Airport4, LeaveGate, 3.8, 0, 2, 1, 0, 
257.552115, Airport4, StartClean, 2.9, 0, 2, 1, 0, 
258.855618, Airport4, AcquireRunwayTakeoff, 3.7, 0, 2, 1, 0, 
258.855618, Airport4, Takeoff, 3.7, 0, 2, 1, 0, 
261.700270, Airport4, Leave, 2.6, 0, 2, 1, 0, 
262.131455, Airport4, StartClean, 1.5, 0, 2, 1, 0, 
263.263094, Airport4, LoadLuggage, 3.8, 0, 2, 1, 0, 
265.372796, Airport4, Leave, 3.7, 0, 2, 1, 0, 
266.268644, Airport4, AcquireRunwayLand, 3.5, 0, 2, 1, 0, 
266.268644, Airport4, Land, 3.5, 0, 2, 1, 0, 
267.082005, Airport4, LoadLuggage, 2.9, 0, 2, 1, 0, 
267.121902, Airport4, StartEmbark, 2.9, 0, 2, 1, 0, 
270.234448, Airport4, ReleaseFuelTruck, 2.9, 0, 2, 1, 0, 
270.234448, Airport4, LeaveGate, 2.9, 0, 2, 1, 0, 
271.421469, Airport4, StartEmbark, 1.5, 0, 2, 1, 0, 
271.687635, Airport4, Taxi2Gate, 3.5, 0, 2, 1, 0, 
274.268998, Airport4, ReleaseFuelTruck, 1.5, 0, 2, 1, 0, 
274.268998, Airport4, LeaveGate, 1.5, 0, 2, 1, 0, 
276.027194, Airport4, AcquireGate, 3.5, 0, 2, 1, 0, 
